,Source Image,Target Image,Distance
0,Muhammad Farogh Naseem_img_2.jpg,Muhammad Farogh Naseem_img_2.jpg,[[0.]]
0,Muhammad Farogh Naseem_img_2.jpg,Arif Alvi_img_0.jpg,[[0.20095247]]
0,Muhammad Farogh Naseem_img_2.jpg,Unknown_img_2.jpg,[[0.5397721]]
0,Muhammad Farogh Naseem_img_2.jpg,Siraj Ul-Haq_img_1.jpg,[[0.34126836]]
0,Muhammad Farogh Naseem_img_2.jpg,Jibran Nasir_img_0.jpg,[[0.3834033]]
0,Muhammad Farogh Naseem_img_2.jpg,Usman Buzdar_img_3.jpg,[[0.1632179]]
0,Muhammad Farogh Naseem_img_2.jpg,Talat Hussain_img_4.jpg,[[0.477714]]
0,Muhammad Farogh Naseem_img_2.jpg,Jahangir Khan_img_4.jpg,[[0.2582097]]
0,Muhammad Farogh Naseem_img_2.jpg,Zartaj Gul_img_3.jpg,[[0.40804034]]
0,Muhammad Farogh Naseem_img_2.jpg,Kamran Khan_img_2.jpg,[[0.3028052]]
0,Muhammad Farogh Naseem_img_2.jpg,Aisam-Ul-Haq Qureshi_img_4.jpg,[[0.17305017]]
0,Muhammad Farogh Naseem_img_2.jpg,Muhammad Farogh Naseem_img_4.jpg,[[0.18376392]]
